entry_id,old_billing_sku,old_kms,new_billing_sku,new_kms
1956,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
1958,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1959,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
1966,"Good Farmer-9-PNB-PNB",163.90,"Good Farmer-9-DVO-PNB",186.90
1971,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-PNB-DVO",178.40
1972,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1973,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
1978,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-DVO-PNB",114.60
2008,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-DVO-PNB",169.40
2073,Farmind-18-DVO-PNB,169.40,Farmind-18-DVO-DVO,202.00
2079,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2076,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-DVO-PNB",169.40
2083,Farmind-18-DVO-PNB,169.40,Farmind-18-DVO-DVO,202.00
2085,"Good Farmer-9-PNB-PNB",163.90,"Good Farmer-9-DVO-DVO",209.90
2088,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2089,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2090,Farmind-1-PNB-PNB,107.00,Farmind-1-DVO-DVO,202.20
2094,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2095,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2096,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2097,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2114,Farmind-18-DVO-PNB,169.40,Farmind-18-DVO-DVO,202.00
2133,"Good Farmer-1-PNB-PNB",107.00,"Good Farmer-1-DVO-DVO",202.20
2146,"Good Farmer-2-PNB-PNB",129.20,"Good Farmer-2-PNB-DVO",145.40
2148,"Good Farmer-2-PNB-PNB",129.20,"Good Farmer-2-DVO-PNB",145.40
2149,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2150,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2154,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-PNB-DVO",178.40
2163,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
2166,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
2171,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2172,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2173,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2174,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2175,"TDC - CLASS B-SVT-PNB-PNB",10.00,"TDC - CLASS B-SVT-DVO-DVO",76.00
2176,"TDC - CLASS B-SVT-PNB-PNB",10.00,"TDC - CLASS B-SVT-DVO-DVO",76.00
2194,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-DVO-PNB",155.40
2197,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-DVO-PNB",114.60
2199,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-DVO-PNB",114.60
2203,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-PNB-DVO",192.40
2204,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
48,Dole-PH04-DVO-DVO,,Dole-4-PNB-PNB,106.80
55,Dole-5-DVO-DVO,,Dole-5-PNB-PNB,125.40
54,Dole-PH12-DVO-DVO,,Dole-12-PNB-PNB,167.40
44,Sumifru-PH06-DVO-DVO,,Sumifru-6-DVO-DVO,171.40
2215,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2231,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2235,"Good Farmer-9-PNB-PNB",163.90,"Good Farmer-9-DVO-DVO",209.90
2236,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2237,"Good Farmer-15-PNB-PNB",149.90,"Good Farmer-15-DVO-PNB",114.60
2239,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2244,"Good Farmer-9-PNB-PNB",163.90,"Good Farmer-9-DVO-DVO",209.90
2257,"Good Farmer-11-PNB-PNB",167.40,"Good Farmer-11-DVO-DVO",213.40
2258,"Good Farmer-2-PNB-PNB",129.20,"Good Farmer-2-DVO-DVO",161.60
2260,"Good Farmer-11-PNB-PNB",167.40,"Good Farmer-11-PNB-DVO",213.40
2270,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2271,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2272,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2273,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2274,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2278,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2279,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2280,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2281,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2282,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2283,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2287,"Good Farmer-17-PNB-PNB",132.40,"Good Farmer-17-DVO-PNB",155.40
2772,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2851,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
